episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
3741,809.0,722,381,False,0,0.5512,387,1-1,2025-12-10 07:26:05.739557
3742,401.0,722,0,False,0,0.55108,8018,1-1,2025-12-10 07:26:24.799396
3743,286.0,295,393,False,0,0.55096,157,1-1,2025-12-10 07:26:25.166994
3744,281.0,304,393,False,0,0.55084,143,1-1,2025-12-10 07:26:25.522701
3745,416.0,722,0,False,0,0.55072,8018,1-1,2025-12-10 07:26:44.669483
3746,289.0,298,392,False,0,0.5506,159,1-1,2025-12-10 07:26:45.046990
3747,786.0,722,369,False,0,0.55048,625,1-1,2025-12-10 07:26:46.546510
3748,745.0,722,329,False,0,0.55036,1437,1-1,2025-12-10 07:26:49.947737
3749,757.0,698,366,False,0,0.5502400000000001,685,1-1,2025-12-10 07:26:51.574164
3750,778.0,722,341,False,0,0.5501199999999999,1195,1-1,2025-12-10 07:26:54.414521
3751,798.0,722,370,False,0,0.55,605,1-1,2025-12-10 07:26:57.678696
3752,781.0,722,369,False,0,0.5498799999999999,629,1-1,2025-12-10 07:26:59.196075
3753,750.0,693,377,False,0,0.54976,463,1-1,2025-12-10 07:27:00.293886
3754,292.0,303,394,False,0,0.54964,125,1-1,2025-12-10 07:27:00.612615
3755,277.0,296,393,False,0,0.54952,157,1-1,2025-12-10 07:27:00.982214
3756,765.0,722,356,False,0,0.5493999999999999,889,1-1,2025-12-10 07:27:03.115730
3757,293.0,309,394,False,0,0.54928,119,1-1,2025-12-10 07:27:03.414344
3758,986.0,898,337,False,0,0.54916,1265,1-1,2025-12-10 07:27:06.420857
3759,753.0,701,368,False,0,0.54904,647,1-1,2025-12-10 07:27:07.944401
3760,286.0,304,394,False,0,0.5489200000000001,135,1-1,2025-12-10 07:27:08.256887
3761,788.0,702,382,False,0,0.5488,361,1-1,2025-12-10 07:27:09.111302
3762,680.0,662,360,False,0,0.5486800000000001,817,1-1,2025-12-10 07:27:11.056737
3763,259.0,297,393,False,0,0.5485599999999999,157,1-1,2025-12-10 07:27:11.444242
3764,983.0,1155,15,False,0,0.54844,7717,1-1,2025-12-10 07:27:29.785885
3765,400.0,722,0,False,0,0.5483199999999999,8018,1-1,2025-12-10 07:27:48.982361
3766,426.0,722,0,False,0,0.5482,8018,1-1,2025-12-10 07:28:08.130451
3767,651.0,898,0,False,0,0.54808,8018,1-1,2025-12-10 07:28:26.880862
3768,740.0,681,381,False,0,0.54796,389,1-1,2025-12-10 07:28:27.799719
3769,297.0,305,393,False,0,0.5478400000000001,147,1-1,2025-12-10 07:28:28.141627
3770,288.0,299,393,False,0,0.54772,151,1-1,2025-12-10 07:28:28.514254
3771,734.0,673,378,False,0,0.5476,451,1-1,2025-12-10 07:28:29.601214
3772,300.0,309,393,False,0,0.54748,141,1-1,2025-12-10 07:28:29.931626
3773,442.0,722,0,False,0,0.54736,8018,1-1,2025-12-10 07:28:49.024093
3774,737.0,680,370,False,0,0.54724,613,1-1,2025-12-10 07:28:50.470880
3775,426.0,722,0,False,0,0.54712,8018,1-1,2025-12-10 07:29:09.758663
3776,763.0,690,380,False,0,0.547,407,1-1,2025-12-10 07:29:10.738384
3777,730.0,669,366,False,0,0.54688,689,1-1,2025-12-10 07:29:12.383051
3778,287.0,295,392,False,0,0.5467599999999999,161,1-1,2025-12-10 07:29:12.764330
3779,786.0,722,358,False,0,0.54664,855,1-1,2025-12-10 07:29:14.828073
3780,736.0,707,358,False,0,0.5465199999999999,845,1-1,2025-12-10 07:29:16.853872
3781,771.0,705,371,False,0,0.5464,589,1-1,2025-12-10 07:29:18.245886
3782,438.0,722,0,False,0,0.54628,8018,1-1,2025-12-10 07:29:37.338176
3783,268.0,293,392,False,0,0.54616,159,1-1,2025-12-10 07:29:37.724552
3784,302.0,312,393,False,0,0.5460400000000001,139,1-1,2025-12-10 07:29:38.045182
3785,780.0,722,356,False,0,0.54592,895,1-1,2025-12-10 07:29:40.170397
3786,425.0,722,0,False,0,0.5458,8018,1-1,2025-12-10 07:29:59.320023
3787,803.0,712,381,False,0,0.5456799999999999,387,1-1,2025-12-10 07:30:00.229483
3788,270.0,290,392,False,0,0.54556,159,1-1,2025-12-10 07:30:00.621757
3789,871.0,898,244,False,0,0.5454399999999999,3127,1-1,2025-12-10 07:30:08.119321
3790,285.0,298,392,False,0,0.54532,159,1-1,2025-12-10 07:30:08.506998
3791,289.0,298,393,False,0,0.5452,151,1-1,2025-12-10 07:30:08.862962
3792,806.0,722,369,False,0,0.54508,625,1-1,2025-12-10 07:30:10.339750
3793,684.0,654,339,False,0,0.5449599999999999,1227,1-1,2025-12-10 07:30:13.222500
3794,754.0,700,380,False,0,0.54484,415,1-1,2025-12-10 07:30:14.203818
3795,283.0,293,392,False,0,0.54472,167,1-1,2025-12-10 07:30:14.600857
3796,270.0,301,393,False,0,0.5446,153,1-1,2025-12-10 07:30:14.956537
3797,293.0,301,393,False,0,0.5444800000000001,157,1-1,2025-12-10 07:30:15.322161
3798,276.0,294,392,False,0,0.54436,159,1-1,2025-12-10 07:30:15.725208
3799,285.0,296,392,False,0,0.5442400000000001,163,1-1,2025-12-10 07:30:16.111114
3800,424.0,722,0,False,0,0.54412,8018,1-1,2025-12-10 07:30:35.205361
3801,289.0,297,392,False,0,0.5439999999999999,163,1-1,2025-12-10 07:30:35.599145
3802,726.0,669,379,False,0,0.5438799999999999,435,1-1,2025-12-10 07:30:36.628894
3803,662.0,898,29,False,0,0.54376,7419,1-1,2025-12-10 07:30:54.336480
3804,788.0,710,380,False,0,0.54364,399,1-1,2025-12-10 07:30:55.287132
3805,292.0,300,393,False,0,0.54352,147,1-1,2025-12-10 07:30:55.652505
3806,791.0,722,370,False,0,0.5434,611,1-1,2025-12-10 07:30:57.090761
3807,403.0,722,0,False,0,0.54328,8018,1-1,2025-12-10 07:31:16.195176
3808,966.0,1128,19,False,0,0.5431599999999999,7623,1-1,2025-12-10 07:31:34.201790
3809,432.0,722,0,False,0,0.54304,8018,1-1,2025-12-10 07:31:53.277905
3810,415.0,722,0,False,0,0.54292,8018,1-1,2025-12-10 07:32:12.452602
3811,432.0,722,0,False,0,0.5428,8018,1-1,2025-12-10 07:32:31.659715
3812,288.0,296,393,False,0,0.54268,157,1-1,2025-12-10 07:32:32.026609
